log,fault_type
"Surge event recorded, compressor map reviewed Monitoring continues.",compressor_degradation
"Turbine blade tip clearance out of spec, adjusted Follow-up scheduled.",turbine_blade_damage
Thermal fatigue marks found on turbine nozzle guide vanes Engineer notified.,turbine_blade_damage
"Turbine blade tip clearance out of spec, adjusted Monitoring continues.",turbine_blade_damage
"Inlet pressure ratio declining, compressor washed Work order raised.",compressor_degradation
"Turbine exit temperature spike, blade inspection required Follow-up scheduled.",turbine_blade_damage
"Hot section damage suspected, borescope inspection done Monitoring continues.",turbine_blade_damage
"Surge event recorded, compressor map reviewed Work order raised.",compressor_degradation
"Data dropout from sensor cluster, wiring inspected Repair completed.",sensor_drift
"Vibration amplitude increasing, bearing replacement scheduled Engineer notified.",bearing_wear
"Erratic sensor output during cold start, replaced Work order raised.",sensor_drift
Unusual vibration detected in main bearing assembly Follow-up scheduled.,bearing_wear
"Turbine blade tip clearance out of spec, adjusted Parts ordered.",turbine_blade_damage
Sensor reading inconsistent with adjacent sensor values Engineer notified.,sensor_drift
"Pressure transducer drift detected, recalibrated Parts ordered.",sensor_drift
Sensor reading inconsistent with adjacent sensor values Work order raised.,sensor_drift
"Fuel line blockage cleared, pressure restored to normal Repair completed.",fuel_system
"Pressure transducer drift detected, recalibrated Follow-up scheduled.",sensor_drift
"Turbine blade tip clearance out of spec, adjusted Monitoring continues.",turbine_blade_damage
"Abnormal fuel consumption reported, filter replaced Follow-up scheduled.",fuel_system
"Surge event recorded, compressor map reviewed Work order raised.",compressor_degradation
"Rattling noise during startup, bearing wear confirmed Follow-up scheduled.",bearing_wear
"Fuel leak detected near injector nozzle, seal replaced Work order raised.",fuel_system
"Compressor efficiency drop, blade fouling suspected Work order raised.",compressor_degradation
Fuel pressure drop observed during high load operation Repair completed.,fuel_system
"Fuel flow rate inconsistent, injector cleaned and tested Work order raised.",fuel_system
"High frequency noise from bearing, excessive heat noted Repair completed.",bearing_wear
"Data dropout from sensor cluster, wiring inspected Follow-up scheduled.",sensor_drift
"Pressure transducer drift detected, recalibrated Repair completed.",sensor_drift
"Pressure transducer drift detected, recalibrated Engineer notified.",sensor_drift
"Fuel flow rate inconsistent, injector cleaned and tested Follow-up scheduled.",fuel_system
"Vibration amplitude increasing, bearing replacement scheduled Engineer notified.",bearing_wear
"Hot section damage suspected, borescope inspection done Work order raised.",turbine_blade_damage
"Flow coefficient reduced, compressor blades inspected Parts ordered.",compressor_degradation
"Fuel leak detected near injector nozzle, seal replaced Engineer notified.",fuel_system
"Vibration amplitude increasing, bearing replacement scheduled Work order raised.",bearing_wear
"Hot section damage suspected, borescope inspection done Monitoring continues.",turbine_blade_damage
"Compressor stall detected, inlet guide vanes adjusted Work order raised.",compressor_degradation
Sensor reading inconsistent with adjacent sensor values Follow-up scheduled.,sensor_drift
"Bearing temperature exceeded threshold, lubrication checked Parts ordered.",bearing_wear
"Fuel leak detected near injector nozzle, seal replaced Repair completed.",fuel_system
Unusual vibration detected in main bearing assembly Follow-up scheduled.,bearing_wear
"Abnormal fuel consumption reported, filter replaced Monitoring continues.",fuel_system
"Erratic sensor output during cold start, replaced Repair completed.",sensor_drift
Fuel pressure drop observed during high load operation Work order raised.,fuel_system
"Fuel leak detected near injector nozzle, seal replaced Work order raised.",fuel_system
"Pressure transducer drift detected, recalibrated Engineer notified.",sensor_drift
"Turbine exit temperature spike, blade inspection required Follow-up scheduled.",turbine_blade_damage
"Compressor efficiency drop, blade fouling suspected Repair completed.",compressor_degradation
Sensor reading inconsistent with adjacent sensor values Engineer notified.,sensor_drift
"Surge event recorded, compressor map reviewed",compressor_degradation
Sensor reading inconsistent with adjacent sensor values,sensor_drift
"Fuel line blockage cleared, pressure restored to normal Work order raised.",fuel_system
Abnormal compressor discharge temperature logged Work order raised.,compressor_degradation
"Bearing temperature exceeded threshold, lubrication checked",bearing_wear
Unusual vibration detected in main bearing assembly Parts ordered.,bearing_wear
Exhaust gas temperature spread increased significantly Monitoring continues.,turbine_blade_damage
"High frequency noise from bearing, excessive heat noted Repair completed.",bearing_wear
"Fuel line blockage cleared, pressure restored to normal",fuel_system
Sensor bias confirmed after cross-check with backup Engineer notified.,sensor_drift
"Engine stall during acceleration, fuel pump inspected Monitoring continues.",fuel_system
"Rattling noise during startup, bearing wear confirmed Repair completed.",bearing_wear
"Inlet pressure ratio declining, compressor washed Follow-up scheduled.",compressor_degradation
"Fuel flow rate inconsistent, injector cleaned and tested Repair completed.",fuel_system
Exhaust gas temperature spread increased significantly Work order raised.,turbine_blade_damage
Thermal fatigue marks found on turbine nozzle guide vanes Monitoring continues.,turbine_blade_damage
Exhaust gas temperature spread increased significantly Parts ordered.,turbine_blade_damage
"Data dropout from sensor cluster, wiring inspected",sensor_drift
"Rattling noise during startup, bearing wear confirmed Repair completed.",bearing_wear
"Compressor stall detected, inlet guide vanes adjusted Parts ordered.",compressor_degradation
Unusual vibration detected in main bearing assembly Engineer notified.,bearing_wear
"Flow coefficient reduced, compressor blades inspected Repair completed.",compressor_degradation
"Inlet pressure ratio declining, compressor washed Repair completed.",compressor_degradation
Crack detected on turbine blade during visual inspection Work order raised.,turbine_blade_damage
"Engine stall during acceleration, fuel pump inspected Engineer notified.",fuel_system
"Fuel leak detected near injector nozzle, seal replaced Parts ordered.",fuel_system
